order_id,customer_id,order_date,order_status,total_amount
68,3704,2023-12-12,Pending,384.82
69,1925,2023-11-29,Completed,914.12
70,1837,2023-09-12,Completed,393.44
71,4611,2023-07-02,Pending,820.29
72,2753,2023-12-17,Cancelled,372.08
73,4128,2023-03-22,Completed,88.38
74,958,2023-03-04,Completed,358.7
75,9052,2023-01-30,Completed,827.47
76,2733,2023-03-24,Pending,646.02
77,228,2023-11-19,Cancelled,291.09
78,129,2023-10-05,Cancelled,296.12
79,4354,2023-09-03,Completed,955.57
80,2897,2023-07-25,Completed,945.21
81,9682,2023-12-18,Pending,304.08
82,5525,2023-12-13,Cancelled,440.82
83,3994,2023-03-20,Completed,730.41
84,506,2023-04-22,Completed,651.89
85,7780,2023-07-16,Completed,27.03
86,823,2023-07-16,Pending,641.94
87,8972,2023-02-08,Completed,918.99
88,2205,2023-10-22,Completed,242.58
89,5521,2023-08-05,Pending,847.62
90,7216,2023-01-12,Cancelled,103.1
91,34,2023-04-01,Cancelled,521.27
92,2234,2023-04-04,Cancelled,800.02
93,4972,2023-08-09,Completed,332.19
94,4850,2023-04-10,Completed,80.61
95,856,2023-10-03,Pending,625.56
96,6480,2023-02-11,Pending,716.68
97,1760,2023-03-27,Completed,320.18
98,3067,2023-04-04,Completed,702.69
99,1358,2023-12-07,Pending,612.55
100,2461,2023-04-25,Pending,63.35
101,5354,2023-05-28,Cancelled,707.17
102,836,2023-04-27,Cancelled,939.7
103,8865,2023-10-05,Pending,687.39
104,9751,2023-08-02,Pending,863.07
105,1513,2023-10-24,Pending,927.05
106,5014,2023-09-22,Pending,334.97
107,3540,2023-07-27,Completed,75.76
108,6949,2023-08-02,Cancelled,240.26
109,4422,2023-03-11,Cancelled,393.62
110,5638,2023-12-31,Cancelled,654.0
111,3383,2023-06-16,Pending,627.46
112,1243,2023-10-14,Completed,866.38
113,4500,2023-03-25,Pending,760.46
114,5957,2023-03-13,Pending,242.64
115,2573,2023-04-03,Cancelled,63.14
116,1188,2023-11-08,Completed,238.5
117,2688,2023-10-08,Completed,457.13
118,2432,2023-02-10,Cancelled,586.09
119,3272,2023-06-23,Pending,790.62
120,1894,2023-12-28,Completed,121.8
121,6645,2023-08-27,Pending,640.53
122,123,2023-02-27,Completed,492.97
123,6074,2023-04-18,Cancelled,397.99
124,4600,2023-08-05,Pending,159.29
125,1916,2023-02-18,Pending,459.39
126,3262,2023-05-13,Completed,545.57
127,9039,2023-04-30,Completed,984.72
128,751,2023-05-10,Completed,743.25
129,8136,2023-03-02,Pending,397.52
130,6886,2023-10-23,Completed,590.64
131,907,2023-10-12,Completed,706.53
132,2674,2023-04-20,Cancelled,702.61
133,87,2023-02-03,Completed,62.09
134,573,2023-12-31,Pending,604.61
135,3127,2023-06-27,Completed,245.78
136,2513,2023-05-24,Pending,47.79
137,8781,2023-03-24,Completed,766.11
138,9714,2023-09-05,Completed,830.97
139,1793,2023-10-12,Cancelled,605.05
140,244,2023-02-04,Cancelled,656.38
141,3483,2023-09-01,Cancelled,865.23
142,641,2023-08-24,Pending,293.08
143,9118,2023-06-27,Pending,883.68
144,435,2023-10-02,Cancelled,357.31
145,2873,2023-05-06,Completed,133.93
146,7319,2023-08-13,Pending,780.93
147,8497,2023-06-07,Cancelled,23.13
148,7791,2023-01-31,Completed,577.44
149,6796,2023-12-06,Cancelled,159.01
150,6789,2023-02-07,Pending,216.78
151,8198,2023-05-01,Pending,195.11
152,4802,2023-02-05,Pending,209.41
153,8778,2023-12-09,Pending,912.33
154,1390,2023-08-10,Completed,416.64
155,5879,2023-05-26,Cancelled,734.48
156,4498,2023-02-01,Completed,271.61
157,5433,2023-07-06,Pending,406.36
158,8744,2023-04-09,Completed,108.52
159,1098,2023-04-14,Pending,46.07
160,7598,2023-03-29,Completed,797.55
161,3094,2023-04-23,Cancelled,875.58
162,5543,2023-11-15,Pending,181.89
163,5051,2023-05-26,Cancelled,648.94
164,73,2023-10-28,Pending,974.76
165,8890,2023-03-19,Cancelled,298.78
166,9391,2023-05-05,Completed,832.72
167,1085,2023-11-21,Pending,533.16
168,6960,2023-08-25,Cancelled,973.38
169,281,2023-07-25,Pending,30.03
170,9774,2023-08-03,Cancelled,730.88
171,4850,2023-04-06,Pending,957.49
172,8314,2023-10-25,Pending,502.21
173,4522,2023-03-12,Pending,107.46
174,1525,2023-09-11,Pending,625.81
175,8300,2023-11-05,Cancelled,998.53
176,8440,2023-07-21,Cancelled,873.45
177,5177,2023-06-15,Completed,894.8
178,7663,2023-03-25,Cancelled,660.31
179,9746,2023-04-10,Pending,289.26
180,8851,2023-10-16,Completed,33.25
181,942,2023-11-14,Cancelled,98.58
182,5852,2023-08-17,Pending,60.21
183,3003,2023-12-13,Cancelled,481.41
184,1435,2023-12-13,Pending,133.51
185,838,2023-12-19,Cancelled,204.5
186,4258,2023-12-27,Pending,682.01
187,8867,2023-07-11,Pending,861.67
188,4418,2023-02-25,Pending,251.3
189,6179,2023-08-09,Completed,262.12
190,1191,2023-07-29,Pending,721.45
191,136,2023-03-25,Completed,831.33
192,9690,2023-07-16,Pending,106.18
193,7900,2023-12-19,Pending,948.92
194,1947,2023-08-17,Pending,448.85
195,5107,2023-10-31,Pending,899.47
196,3353,2023-06-27,Cancelled,525.54
197,5636,2023-03-26,Pending,861.12
198,9971,2023-07-08,Pending,350.02
199,9734,2023-12-14,Cancelled,100.69
200,2952,2023-02-09,Pending,102.86
201,4348,2023-05-23,Completed,148.14
202,4605,2023-10-30,Completed,690.49
203,7238,2023-02-12,Cancelled,67.89
204,7385,2023-11-17,Cancelled,500.92
205,1576,2023-04-06,Cancelled,517.23
206,998,2023-05-20,Cancelled,870.62
207,2463,2023-03-17,Pending,219.7
208,2934,2023-06-15,Pending,282.85
209,9462,2023-06-02,Completed,419.97
210,8908,2023-08-11,Pending,915.74
211,8526,2023-03-17,Cancelled,529.78
212,3274,2023-05-22,Pending,892.35
213,7776,2023-09-16,Completed,53.21
214,627,2023-12-26,Completed,275.28
215,7602,2023-08-03,Cancelled,205.86
216,9730,2024-01-01,Completed,154.92
217,7980,2023-03-03,Cancelled,506.77
218,4680,2023-08-15,Pending,918.07
219,2233,2023-12-03,Completed,532.62
220,3405,2024-01-01,Cancelled,570.52
221,4241,2023-07-29,Cancelled,551.86
222,2398,2023-10-19,Completed,459.28
223,8207,2023-07-12,Pending,39.02
224,7755,2023-02-08,Pending,52.82
225,8661,2023-06-02,Completed,761.93
226,5101,2023-10-07,Cancelled,973.75
227,5167,2023-11-23,Pending,815.42
228,4177,2023-10-13,Cancelled,468.34
229,621,2023-09-06,Completed,636.39
230,8777,2023-10-31,Cancelled,208.82
231,6433,2023-10-18,Pending,79.44
232,7334,2023-04-21,Cancelled,602.61
233,5553,2023-09-03,Cancelled,161.35
234,3842,2023-06-30,Completed,736.88
235,4295,2023-11-04,Completed,508.69
236,3647,2023-03-01,Pending,989.13
237,6659,2023-08-16,Cancelled,393.73
238,80,2023-12-18,Cancelled,994.23
239,8300,2023-06-15,Cancelled,748.92
240,3870,2023-07-29,Pending,622.71
241,9847,2023-11-27,Completed,903.84
242,2036,2023-08-03,Cancelled,713.05
243,9747,2023-09-15,Cancelled,928.39
244,6048,2023-01-03,Completed,367.64
245,4229,2023-01-12,Pending,563.2
246,3469,2023-08-08,Pending,180.27
247,8350,2023-12-25,Pending,114.55
248,2636,2023-03-21,Pending,349.69
249,3904,2023-08-12,Completed,173.97
250,1630,2023-03-03,Completed,509.3
251,9838,2023-11-02,Completed,128.19
252,1528,2023-01-27,Cancelled,941.06
253,1387,2023-04-15,Completed,443.93
254,3472,2023-10-01,Cancelled,217.37
255,3340,2023-07-13,Completed,481.76
256,2658,2023-05-04,Pending,886.99
257,5809,2023-06-25,Pending,780.55
258,1073,2023-10-25,Cancelled,610.67
259,8361,2023-07-25,Pending,797.39
260,2047,2023-12-21,Completed,992.75
261,2274,2023-06-14,Completed,27.1
262,434,2023-03-06,Completed,505.43
263,1682,2023-10-23,Pending,901.04
264,1505,2023-04-24,Completed,359.99
265,8553,2023-10-30,Cancelled,607.36
266,8598,2023-02-11,Pending,336.16
267,5724,2023-04-29,Completed,948.1
268,6851,2023-02-20,Completed,361.03
269,3852,2023-06-09,Completed,974.99
270,4051,2023-01-25,Pending,434.96
271,7372,2023-01-22,Cancelled,864.89
272,1709,2023-08-20,Cancelled,829.38
273,5493,2023-11-23,Pending,244.74
274,8178,2023-12-02,Pending,100.87
275,9894,2023-03-15,Cancelled,649.9
276,1639,2023-10-12,Pending,936.48
277,1042,2023-09-10,Pending,858.9
278,3292,2023-07-04,Cancelled,899.1
279,7209,2023-02-15,Pending,575.48
280,3685,2023-07-11,Pending,85.57
281,2520,2023-11-26,Completed,344.63
282,3362,2023-10-01,Pending,276.21
283,5623,2023-02-04,Pending,332.55
284,2977,2023-07-30,Pending,581.32
285,1041,2023-12-24,Completed,598.67
286,164,2023-03-02,Completed,657.97
287,7976,2023-01-17,Pending,623.81
288,573,2023-02-19,Completed,227.66
289,1472,2023-06-27,Pending,290.99
290,6566,2023-02-15,Pending,397.83
291,667,2023-12-18,Pending,69.5
292,1687,2023-06-15,Completed,580.62
293,8143,2023-06-16,Pending,645.77
294,2256,2023-11-23,Cancelled,213.66
295,7356,2023-08-18,Cancelled,323.93
296,2468,2023-06-21,Completed,877.12
297,5249,2023-03-04,Pending,226.76
298,7327,2023-11-21,Cancelled,920.62
299,575,2023-09-22,Pending,676.62
300,3781,2023-01-30,Cancelled,340.23
301,5671,2023-08-03,Completed,875.29
302,1149,2023-08-19,Completed,749.2
303,18,2023-10-12,Cancelled,846.93
304,2687,2023-11-05,Cancelled,925.6
305,782,2023-07-27,Completed,391.29
306,2552,2023-05-04,Completed,851.67
307,8432,2023-06-15,Completed,401.23
308,4244,2023-06-16,Pending,255.01
309,6528,2023-09-10,Cancelled,830.33
310,2556,2023-09-19,Completed,353.22
311,8853,2023-03-17,Cancelled,810.14
312,3225,2023-01-24,Pending,780.9
313,8323,2023-06-27,Completed,188.39
314,2926,2023-11-25,Completed,879.73
315,7898,2023-09-28,Pending,880.7
316,1609,2023-06-29,Pending,514.44
317,1461,2023-01-17,Completed,323.95
318,2566,2023-11-10,Pending,59.14
319,4302,2023-02-07,Pending,514.37
320,1058,2023-02-01,Pending,663.58
321,640,2023-05-26,Pending,285.56
322,2222,2023-02-24,Completed,486.01
323,2981,2023-11-15,Completed,131.56
324,5196,2023-12-29,Pending,74.48
325,1844,2023-11-19,Pending,839.89
326,4231,2023-07-04,Pending,900.98
327,8987,2023-09-25,Cancelled,256.15
328,4334,2023-10-09,Completed,463.36
329,2772,2023-03-27,Completed,261.74
330,6063,2023-05-19,Completed,298.62
331,6561,2023-09-17,Cancelled,278.21
332,8335,2023-04-22,Completed,917.3
333,8327,2023-11-21,Pending,775.67
334,2267,2023-11-14,Cancelled,473.67
335,6172,2023-08-07,Pending,315.8
336,9615,2023-03-22,Completed,760.54
337,8392,2023-09-30,Completed,279.62
338,5497,2023-03-22,Cancelled,750.25
339,1554,2023-02-21,Cancelled,459.3
340,4795,2023-08-18,Pending,928.48
341,6354,2023-11-07,Pending,130.13
342,7307,2023-12-11,Pending,626.58
343,3550,2023-06-18,Cancelled,704.84
344,7355,2023-12-30,Pending,720.9
345,3788,2023-12-17,Completed,645.33
346,7411,2023-07-19,Cancelled,890.48
347,9890,2023-10-28,Completed,143.2
348,4542,2023-11-09,Pending,481.9
349,2055,2023-07-02,Cancelled,752.83
350,8404,2023-03-15,Completed,252.76
351,976,2023-03-17,Cancelled,547.69
352,1700,2023-04-26,Pending,573.47
353,8641,2023-09-29,Completed,835.57
354,639,2023-08-29,Cancelled,552.95
355,911,2023-01-30,Cancelled,718.57
356,9982,2023-12-14,Completed,348.63
357,78,2023-11-03,Cancelled,530.07
358,9992,2023-04-14,Pending,964.25
359,3354,2023-07-22,Pending,932.38
360,2315,2023-12-15,Cancelled,30.99
361,5882,2023-06-02,Pending,796.47
362,9744,2023-12-21,Cancelled,278.12
363,9080,2023-12-31,Completed,414.63
364,1421,2023-11-14,Cancelled,849.54
365,5568,2023-05-22,Pending,826.89
366,7741,2023-11-26,Cancelled,526.91
367,3434,2023-08-07,Pending,79.8
368,4277,2023-12-22,Pending,391.66
369,728,2023-09-25,Pending,152.36
370,490,2023-12-10,Completed,135.17
371,7587,2023-10-15,Cancelled,647.7
372,7075,2023-12-28,Pending,374.66
373,7459,2023-05-03,Pending,793.08
374,5812,2023-05-27,Cancelled,818.62
375,7254,2023-09-20,Completed,882.42
376,9958,2023-04-19,Completed,30.33
377,5322,2023-08-04,Pending,306.63
378,9377,2023-04-05,Pending,753.14
379,4140,2023-11-22,Cancelled,217.79
380,7383,2023-01-16,Completed,910.33
381,1977,2023-08-27,Cancelled,212.62
382,674,2023-03-13,Completed,398.08
383,6565,2023-07-05,Completed,281.01
384,775,2023-10-28,Completed,651.78
385,7297,2023-09-21,Cancelled,996.42
386,9145,2023-07-16,Cancelled,706.64
387,1203,2023-12-19,Pending,185.37
388,2633,2023-03-15,Cancelled,109.77
389,3914,2023-07-12,Completed,273.83
390,5828,2023-03-07,Pending,961.01
391,701,2023-12-18,Cancelled,359.26
392,4721,2023-10-10,Pending,673.7
393,2370,2023-02-14,Completed,69.56
394,4789,2023-01-27,Completed,186.4
395,2636,2023-12-03,Completed,517.47
396,7308,2023-12-12,Completed,58.08
397,6013,2023-06-16,Pending,452.8
398,9749,2023-01-13,Completed,55.53
399,8520,2023-01-01,Completed,514.66
400,2813,2023-08-13,Cancelled,193.51
401,8961,2023-11-03,Cancelled,444.72
402,7603,2023-03-09,Completed,932.78
403,1127,2023-09-25,Completed,308.76
404,505,2023-03-16,Cancelled,36.05
405,9647,2023-12-24,Cancelled,992.02
406,7568,2023-12-27,Completed,330.12
407,6581,2023-10-17,Completed,632.29
408,2112,2023-12-18,Cancelled,515.76
409,7376,2023-11-19,Cancelled,567.61
410,521,2023-06-15,Cancelled,714.77
411,3541,2023-12-09,Pending,856.04
412,2461,2023-04-12,Completed,194.42
413,9816,2023-07-31,Pending,161.67
414,7981,2023-05-24,Completed,460.46
415,2030,2023-07-13,Completed,347.22
416,4715,2023-08-08,Cancelled,841.26
417,9005,2023-08-27,Cancelled,356.91
418,4690,2023-06-24,Completed,946.28
419,2372,2023-07-11,Cancelled,393.47
420,9352,2023-08-01,Pending,207.34
421,8025,2023-12-06,Completed,35.12
422,1142,2023-06-25,Cancelled,988.13
423,7003,2023-02-04,Pending,892.05
424,7136,2023-03-17,Cancelled,483.23
425,6550,2023-10-30,Completed,505.0
426,8004,2023-09-14,Completed,451.33
427,7342,2023-06-16,Completed,205.76
428,5543,2023-04-12,Pending,50.93
429,9833,2023-03-14,Pending,34.75
430,3968,2023-01-24,Pending,496.4
431,8827,2023-04-05,Cancelled,401.72
432,5806,2023-05-22,Completed,642.72
433,4988,2023-09-22,Pending,821.44
434,7972,2023-08-18,Cancelled,69.71
435,5465,2023-06-10,Completed,536.22
436,99,2023-09-03,Cancelled,287.86
437,8801,2023-09-17,Cancelled,266.68
438,988,2023-02-05,Pending,453.53
439,9023,2023-10-21,Pending,567.87
440,5653,2023-07-20,Completed,306.74
441,9353,2023-01-15,Pending,707.17
442,3099,2023-02-28,Cancelled,981.35
443,8556,2023-02-19,Cancelled,698.0
444,6820,2023-12-22,Completed,925.77
445,1251,2023-01-15,Completed,104.26
446,4216,2023-11-25,Completed,71.07
447,7221,2023-08-08,Pending,571.47
448,3628,2023-12-11,Cancelled,162.8
449,1115,2023-08-04,Cancelled,475.03
450,9155,2023-02-16,Completed,658.76
451,9442,2023-09-22,Cancelled,979.91
452,4556,2023-04-07,Completed,430.53
453,6301,2023-10-26,Completed,601.43
454,2772,2023-05-12,Cancelled,478.31
455,5154,2023-10-12,Pending,902.87
456,4666,2023-04-23,Completed,199.91
457,7347,2023-02-12,Cancelled,816.44
458,4707,2023-03-19,Completed,188.91
459,8641,2023-01-14,Cancelled,626.47
460,1811,2023-02-08,Completed,374.43
461,2343,2023-06-10,Cancelled,188.42
462,535,2023-01-09,Pending,316.81
463,5185,2023-11-17,Completed,886.33
464,2235,2023-01-28,Pending,248.89
465,9073,2023-07-11,Completed,863.28
466,8908,2023-08-11,Cancelled,133.9
467,4366,2023-02-27,Completed,71.84
468,8687,2023-02-05,Cancelled,215.51
469,8978,2024-01-01,Completed,375.73
470,4243,2023-12-07,Completed,961.53
471,9007,2023-03-07,Cancelled,879.73
472,5242,2023-07-04,Pending,672.97
473,4146,2023-03-26,Completed,767.55
474,1398,2023-08-24,Pending,149.77
475,6404,2023-07-29,Completed,691.46
476,3862,2023-05-21,Completed,24.67
477,7973,2023-05-21,Pending,973.9
478,7955,2023-11-06,Cancelled,954.98
479,9264,2023-05-29,Cancelled,476.04
480,5443,2023-06-21,Completed,135.72
481,3939,2023-09-04,Pending,970.08
482,3688,2023-07-31,Cancelled,30.56
483,2082,2023-01-08,Cancelled,299.13
484,7069,2023-12-18,Completed,320.69
485,7,2023-01-19,Pending,334.35
486,2109,2023-05-08,Cancelled,168.14
487,443,2023-01-09,Pending,677.78
488,8978,2023-12-01,Completed,294.07
489,5386,2023-09-07,Pending,129.88
490,2693,2023-09-16,Completed,593.83
491,7798,2023-09-19,Pending,265.85
492,3565,2023-11-14,Completed,622.55
493,7745,2023-06-12,Cancelled,278.38
494,7141,2023-01-25,Completed,666.99
495,4540,2023-02-22,Pending,231.48
496,7029,2023-05-06,Cancelled,980.43
497,2671,2023-07-17,Cancelled,366.31
498,9838,2023-09-20,Cancelled,688.09
499,6660,2023-03-03,Completed,889.59
500,5770,2023-04-11,Completed,531.77
501,7578,2023-07-20,Completed,957.93
502,3246,2023-11-15,Cancelled,98.45
503,7414,2023-04-11,Cancelled,92.62
504,1149,2023-08-13,Cancelled,841.34
505,792,2023-05-04,Cancelled,403.5
506,8311,2023-01-10,Cancelled,608.87
507,7194,2024-01-01,Completed,404.09
508,4820,2023-07-03,Cancelled,431.28
509,639,2023-08-19,Completed,93.29
510,6956,2023-08-27,Pending,481.99
511,5932,2023-02-04,Cancelled,173.14
512,9558,2023-05-24,Cancelled,79.67
513,3588,2023-04-04,Completed,478.38
514,6628,2023-08-21,Completed,488.36
515,4247,2023-07-01,Cancelled,799.11
516,9944,2023-08-10,Completed,327.31
517,3315,2023-03-07,Completed,899.29
518,4509,2023-09-09,Completed,558.48
519,6532,2023-01-08,Completed,43.04
520,218,2023-08-02,Pending,413.18
521,7345,2023-05-13,Pending,438.05
522,5235,2023-09-10,Completed,337.29
523,3992,2023-07-29,Completed,910.31
524,9789,2023-12-31,Completed,468.4
525,6927,2023-05-13,Cancelled,834.03
526,9452,2023-02-14,Pending,941.36
527,8225,2023-05-26,Cancelled,683.02
528,2258,2023-02-05,Completed,291.1
529,7244,2023-09-12,Completed,162.31
530,921,2023-02-15,Cancelled,613.16
531,2991,2023-05-07,Completed,405.78
532,6830,2023-11-06,Cancelled,264.57
533,1281,2023-06-08,Cancelled,919.14
534,9075,2023-01-10,Cancelled,846.2
535,6907,2023-09-06,Completed,375.26
536,3499,2023-02-06,Pending,721.03
537,5318,2023-01-31,Pending,959.1
538,1667,2023-12-24,Pending,856.4
539,6652,2023-02-09,Pending,214.54
540,7552,2023-01-15,Pending,401.15
541,4990,2023-07-23,Pending,873.2
542,9693,2023-11-16,Completed,253.37
543,3605,2023-03-24,Completed,632.41
544,1736,2023-02-26,Cancelled,552.0
545,9963,2023-06-22,Pending,275.82
546,7075,2023-03-13,Completed,657.83
547,3300,2023-10-19,Pending,225.08
548,1239,2023-07-25,Cancelled,706.25
549,1263,2023-03-23,Cancelled,40.63
550,7996,2023-05-09,Completed,490.1
551,4502,2023-10-19,Cancelled,164.14
552,8601,2023-02-23,Completed,737.9
553,9754,2023-04-08,Cancelled,535.48
554,7638,2023-06-15,Completed,703.18
555,5986,2023-03-06,Cancelled,586.97
556,3144,2023-03-03,Completed,323.27
557,9052,2023-02-23,Pending,635.73
558,7136,2023-12-13,Cancelled,144.22
559,5982,2023-09-15,Completed,228.76
560,853,2023-09-06,Completed,353.58
561,6459,2023-10-09,Completed,591.02
562,3444,2023-06-24,Pending,635.92
563,3238,2023-01-23,Cancelled,120.64
564,4112,2023-05-03,Completed,550.14
565,351,2023-10-08,Cancelled,943.22
566,1333,2023-07-27,Completed,401.63
567,8487,2023-06-05,Completed,285.06
568,7459,2023-09-21,Completed,667.69
569,6368,2023-01-19,Cancelled,212.81
570,2921,2023-07-20,Cancelled,756.92
571,3924,2023-09-01,Completed,989.46
572,7591,2023-07-27,Cancelled,128.31
573,8098,2023-10-18,Cancelled,923.3
574,3093,2023-02-16,Completed,391.66
575,7337,2023-04-06,Pending,536.97
576,9083,2023-10-20,Pending,487.96
577,1963,2023-03-28,Pending,181.05
578,5750,2023-11-15,Completed,655.68
579,7189,2023-05-04,Cancelled,907.91
580,8546,2023-06-28,Pending,433.19
581,357,2023-02-14,Completed,530.17
582,9555,2023-05-05,Pending,844.28
583,1661,2023-01-15,Pending,143.41
584,9903,2023-11-12,Completed,955.45
585,8472,2023-11-10,Cancelled,169.6
586,3102,2023-02-06,Cancelled,614.68
587,9619,2023-02-09,Cancelled,967.1
588,4257,2023-05-27,Cancelled,825.22
589,1851,2023-02-11,Pending,488.26
590,6804,2023-07-29,Completed,62.11
591,7806,2023-04-14,Pending,860.17
592,9371,2023-12-30,Completed,124.41
593,6649,2023-06-04,Pending,980.75
594,3206,2023-08-14,Cancelled,389.03
595,4730,2023-09-13,Pending,755.25
596,2465,2023-01-25,Completed,91.33
597,374,2023-07-23,Pending,706.93
598,8409,2023-05-16,Cancelled,729.73
599,2658,2023-07-26,Pending,335.08
600,245,2023-04-29,Pending,136.08
601,6272,2023-12-21,Cancelled,250.42
602,7384,2023-05-25,Cancelled,427.91
603,483,2023-10-13,Pending,718.21
604,1694,2023-07-23,Pending,416.21
605,6186,2023-07-12,Cancelled,125.95
606,6568,2023-02-28,Cancelled,969.26
607,9728,2023-02-14,Cancelled,417.73
608,3524,2023-09-03,Completed,491.98
609,128,2023-01-07,Pending,126.45
610,2627,2023-09-22,Pending,341.15
611,4884,2023-02-14,Pending,767.36
612,2761,2023-07-27,Cancelled,800.54
613,1351,2023-04-03,Completed,935.51
614,7895,2023-06-22,Cancelled,538.36
615,8596,2023-07-09,Completed,846.53
616,6481,2023-04-04,Pending,390.87
617,635,2023-12-26,Cancelled,88.4
618,6656,2023-10-23,Completed,659.41
619,7637,2023-04-02,Completed,699.27
620,9886,2023-03-10,Pending,217.9
621,3117,2023-06-23,Completed,807.61
622,850,2023-06-10,Completed,423.69
623,3088,2023-10-31,Cancelled,226.88
624,2636,2023-10-18,Completed,886.54
625,9268,2023-07-21,Cancelled,276.43
626,9218,2023-08-21,Completed,783.11
627,8518,2023-08-15,Completed,551.23
628,4472,2023-06-14,Completed,796.61
629,1827,2023-11-15,Pending,966.9
630,4510,2023-12-11,Completed,860.91
631,3300,2023-02-08,Completed,495.14
632,5327,2023-07-26,Completed,807.7
633,1304,2023-11-28,Pending,748.17
634,6416,2023-12-07,Cancelled,369.09
635,2338,2023-09-27,Completed,793.25
636,5042,2023-07-30,Completed,667.17
637,2654,2023-04-26,Cancelled,232.04
638,2915,2023-11-07,Pending,522.25
639,8979,2023-03-31,Pending,191.88
640,1335,2023-05-08,Pending,759.43
641,1289,2023-06-04,Pending,394.22
642,9163,2023-11-21,Pending,802.49
643,6627,2023-04-11,Cancelled,782.04
644,5416,2023-07-02,Cancelled,601.59
645,5402,2023-10-04,Completed,879.32
646,1366,2023-01-29,Pending,150.14
647,4931,2023-11-09,Cancelled,956.94
648,3765,2023-07-15,Completed,894.57
649,9472,2023-09-16,Pending,367.47
650,6080,2023-12-29,Cancelled,243.21
651,7633,2023-08-04,Completed,631.1
652,3791,2023-08-26,Cancelled,631.43
653,7268,2023-01-09,Pending,435.07
654,3777,2023-12-29,Cancelled,640.09
655,597,2023-12-18,Completed,891.04
656,6094,2023-02-11,Pending,725.91
657,7830,2023-03-23,Completed,955.57
658,9286,2023-08-01,Pending,967.73
659,7809,2023-02-01,Pending,188.1
660,1260,2023-04-06,Pending,458.44
661,5952,2023-06-19,Completed,78.05
662,7964,2023-08-02,Completed,114.4
663,2729,2023-03-13,Cancelled,229.15
664,7594,2023-10-31,Completed,442.94
665,6857,2023-03-11,Pending,972.4
666,2895,2023-02-14,Completed,28.52
667,4642,2023-08-14,Cancelled,908.52
668,6087,2023-12-17,Pending,686.19
669,6112,2023-04-10,Completed,803.13
670,7378,2023-08-26,Pending,566.89
671,7487,2023-12-18,Cancelled,365.12
672,9319,2023-04-18,Completed,411.3
673,6931,2023-03-24,Completed,325.89
674,909,2023-06-06,Pending,884.23
675,2620,2023-06-25,Completed,886.25
676,9640,2023-05-10,Completed,580.27
677,153,2023-05-28,Completed,245.9
678,5957,2023-06-02,Pending,599.05
679,4360,2023-11-21,Cancelled,587.42
680,1415,2023-10-20,Pending,214.17
